id,# of genres,# of production companies,production countries,number of production countries,Oversea Status,release year,release quarter,# of keywords,# of cast,gender distribution for cast,actor name,# of crew,gender distribution for crew,budget,homepage,imdbid,popularity,runtime,tagline
5488,2,1,"['DE', 'US']",2,1,02,3,5,7,"[(0, 2, 5)]","MatthewPerry,ElizabethHurley,VincentPastore,BruceCampbell,CedrictheEntertainer,AmyAdams,JerryStiller",10,"[(1, 0, 9)]",29000000,,tt0261289,10.16841,100,The One Thing That Could Bring Them Together Is Revenge.
5489,2,1,"['AE', 'US']",2,0,09,3,0,29,"[(16, 2, 11)]","JimmyBennett,KatDennings,JolieVanier,WilliamH,JamesSpader,JonCryer,JakeShort,TrevorGagnon,DevonGearhart,RebelRodriguez,LeoHoward,RacerRodriguez,RocketRodriguez,JohnChilleri,JoshChristman,JoshuaDrew,ZachIrsik,RyanLee,ChristinaLehner,JamesLeonardoMayberry,MicaelaPhillips,BellaPerryman,CambellWestmoreland,ZoeWebb,CameronR,HenryJ,CameronWofford,AlexisWoods,LeslieMann",22,"[(9, 2, 11)]",40000000,,tt1100119,4.021983,89,Not So TALL Tales From The Director Of 'Spy Kids'
5490,4,1,['IN'],1,0,07,4,1,15,"[(3, 3, 9)]","AkshayKumar,KatrinaKaif,AnilKapoor,NanaPatekar,FerozKhan,PareshRawal,MallikaSherawat,SunilShetty,MalaikaAroraKhan,Asrani,SanjayMishra,OmPuri,SunilShetty,SherveerVakil,RuslaanMumtaz",4,"[(2, 0, 2)]",0,,tt0488798,1.520963,160,A Mumbai don tries to find an honest man to marry his younger sister.
5491,3,1,['KR'],1,0,16,3,6,15,"[(3, 6, 6)]","GongYoo,MaDongseok,JungYumi,ChoiWooshik,AhnSohee,KimSooan,KimEuisung,ChoiGwihwa,JeongSeokyong,KimChanghwan,JangHyukJin,ShimEunkyung,ParkMyungshin,YeSooJung,TerriDoty",4,"[(4, 0, 0)]",8820000,http://www.wellgousa.com/theatrical/train-to-busan,tt5700672,22.685169,118,Life-or-death survival begins
5492,3,1,['IN'],1,1,09,4,8,20,"[(11, 1, 8)]","AamirKhan,KareenaKapoor,Madhavan,SharmanJoshi,BomanIrani,MonaSingh,OmiVaidya,JavedJaffrey,ParikshatSahni,AmardeepJha,JayantKripalani,ArunBali,Chandrashekhar,AchyutPotdar,AliFazal,AakashDabhade,AkhilMishra,AtulTiwari,RakeshSharma,Pitobash",41,"[(35, 1, 5)]",9000000,http://idiotsacademy.zapak.com/idiotsmain.php,tt1187043,7.675621,170,Don't BE A STUPID BE AN I.D.I.O.T.
5493,2,3,['ES'],1,1,14,3,9,15,"[(10, 1, 4)]","Ra,JavierGuti,AntoniodelaTorre,NereaBarros,SalvaReina,Jes,ManoloSolo,CeciliaVillanueva,JuanCarlosVillanueva,Jes,MercedesLe,AdelfaCalvo,Jes,AnaTomeno",37,"[(36, 0, 1)]",4000000,,tt3253930,11.127717,105,
5494,2,0,['US'],1,0,03,4,1,6,"[(1, 3, 2)]","JohnLivingston,SabrinaLloyd,BrunoCampos,RuebenGrundy,KathleenAntonia,NicoleWilder",1,"[(0, 0, 1)]",0,,tt0342300,0.401575,79,Love. Real or Just a Chemical Reaction?
5495,4,3,"['BG', 'US']",2,0,06,2,7,14,"[(4, 2, 8)]","MorganFreeman,JohnCusack,AliceKrige,MeganDodds,CoreyJohnson,JonathanHyde,BillSmitrovich,AnthonyWarren,NedBellamy,ThomasLockyer,GaryWhelan,IanShaw,MarkJohnson,JamieAnderson",12,"[(1, 0, 11)]",25000000,,tt0445946,5.615957,96,Every Killer Meets His Equal.
5496,4,1,['US'],1,0,59,1,16,8,"[(0, 5, 3)]","MaryCosta,BillShirley,EleanorAudley,VernaFelton,BarbaraLuddy,BarbaraJoAllen,TaylorHolmes,BillThompson",18,"[(4, 0, 14)]",6000000,,tt0053285,14.276169,75,Awaken to a World of Wonders!
5497,3,1,['US'],1,1,96,3,7,15,"[(3, 4, 8)]","VincentP,MiaKirshner,IggyPop,ThomasJane,RichardBrooks,ThuyTrang,VincentCastellanos,EricAcosta,IanDury,TraceyEllis,BeverleyMitchell,AaronThellSmith,AlanGelfant,ShellyDesai,KerryRossall",12,"[(0, 0, 12)]",13000000,,tt0115986,6.554679,84,Believe in the power of another
5498,3,11,"['PS', 'FR', 'DE', 'IL', 'NL']",5,1,05,1,11,7,"[(1, 2, 4)]","AliSuliman,AmerHlehel,HiamAbbass,AshrafBarhom,MohammadBustami,LubnaAzabal,KaisNashif",19,"[(16, 0, 3)]",0,http://wip.warnerbros.com/paradisenow/,tt0445620,3.714186,90,"From the most unexpected place, come a  new call for peace."
5499,3,3,['US'],1,0,11,4,11,26,"[(4, 7, 15)]","JustinTimberlake,AmandaSeyfried,CillianMurphy,OliviaWilde,AlexPettyfer,JohnnyGalecki,MattBomer,VincentKartheiser,YayaDaCosta,TobyHemingway,BellaHeathcote,ShylohOostwald,EmmaFitzpatrick,WillHarris,MichaelWilliamFreeman,JesseLeeSoffer,AaronPerilo,ZuleykaSilver,ColinMcGurk,LauraAshleySamuels,RaySantiago,WilliamPeltz,ChristiannCastellanos,AbhiSinha,MaximilianOsinski,KristopherHiggins",29,"[(13, 6, 10)]",40000000,http://www.intimemovie.com/,tt1637688,10.324613,109,Time Is Power
5500,4,2,['US'],1,0,88,2,26,15,"[(2, 4, 9)]","ScottGrimes,LianeCurtis,BarryCorbin,DonKeithOpper,LinShaye,EddieDeezen,TerrenceMann,RoxanneKernohan,SamAnderson,DouglasRowe,FrankBirney,CynthiaGarris,HertaWare,TomHodges,LindsayParker",11,"[(4, 0, 7)]",4500000,,tt0094919,9.97523,86,Get Ready for Seconds... They're Back
5501,1,2,['US'],1,0,11,3,2,24,"[(3, 12, 9)]","HughJackman,JenniferGarner,TyBurrell,OliviaWilde,AliciaSilverstone,PruittTaylorVince,KristenSchaal,RobCorddry,PhyllisSmith,AshleyGreene,YaraShahidi,GarrettSchenck,JudyLeavell,JoeChrest,DeanaRicks,KellyTippens,DodieBrown,BrettHill,MarkOliver,CindyCreekmore,JeanneEvans,CorenaChase,AndrewDaly,HeatherCates",18,"[(9, 3, 6)]",0,,tt1349451,8.328357,90,"A comedy about sex, power and spreading the wealth."
5502,3,3,['AU'],1,0,00,2,7,5,"[(0, 0, 5)]","EricBana,SimonLyndon,DavidField,BillYoung,DanielWyllie",10,"[(3, 0, 7)]",0,,tt0221073,9.035898,94,Never let the truth get in the way of a good yarn!
5503,3,2,['NA'],0,0,95,2,0,6,"[(2, 1, 3)]","MartinShort,AnnieGolden,JimBelushi,TimCurry,AlissaKing,StevieVallance",13,"[(5, 2, 6)]",28000000,,tt0114108,2.304986,74,The adventure of a lifetime begins with one small pebble.
5504,3,2,['US'],1,0,46,4,12,108,"[(47, 15, 46)]","JamesStewart,DonnaReed,LionelBarrymore,ThomasMitchell,HenryTravers,BeulahBondi,WardBond,FrankFaylen,GloriaGrahame,H,FrankAlbertson,ToddKarns,SamuelS,VirginiaPatton,MaryTreen,CharlesWilliams,SarahEdwards,WilliamEdmunds,LillianRandolph,ArgentinaBrunetti,RobertJ,RonnieRalph,JeanGale,JeanineAnnRoose,DannyMummert,GeorgieNokes,SheldonLeonard,FrankHagney,RayWalker,CharlesLane,EdwardKeane,CarolCoombs,KarolynGrimes,LarrySimms,JimmyHawkins,JeanAcker,ErnieAdams,MonyaAndre,StanleyAndrews,SamAsh,JackBailey,BrooksBenedict,JosephE,AlBridge,BuzBuckley,MarianCarr,AdrianaCaselotti,LaneChandler,MichaelChapin,TomChatterton,JackCheatham,HarryCheshire,EdwardClark,TomColeman,EllenCorby,JimmytheCrow,LewDavis,HarryDenny,HelenDickson,DickElliott,TomFadden,FrankFenton,EddieFetherston,SamFlint,LeeFrederick,DickGordon,JackGordon,HerschelGraham,JosephGranby,CharlesHalton,HerbertHeywood,HarryHolman,ArtHoward,BertHoward,ArthurStuartHull,JohnIndrisano,EddieKane,CarlKent,MiltonKibbee,EffieLaird,MikeLally,HaroldLandon,JackLomas,J,WilburMack,CharlesMeakin,BertMoorhouse,PhilipMorris,GeorgeNoisom,MoroniOlsen,GarryOwen,NettaPacker,FranklinParker,SuzanneRidgeway,MarkRoberts,ConstantineRomanoff,CySchindell,AlmiraSessions,CedricStevens,BrickSullivan,CharlesSullivan,MaxWagner,LarryWheat,CharlesC",28,"[(15, 1, 12)]",3180000,,tt0038650,15.031588,130,It's a wonderful laugh! It's a wonderful love!
5505,2,4,"['CA', 'US']",2,0,15,4,10,28,"[(7, 18, 3)]","EmmaRoberts,KiernanShipka,LucyBoynton,JamesRemar,LaurenHolly,PeterJ,EmmaHolzer,JodiLarratt,DouglasKidd,MatthewStefiuk,GregEllwand,ElanaKrausz,HeatherTodMitchell,PeterJamesHaworth,RoseGagnon,RondaLouisJeune,CameronPreyde,MyrandaBingham,ToriBarban,VeronicaCormier,HallieGreen,AileighKarson,IlishKarson,StephenK,TrevorGoulet,DonnaStJean,MeganWeckwerth,KatelynWells",66,"[(57, 3, 6)]",0,https://a24films.com/films/the-blackcoats-daughter,tt3286052,4.950329,93,Abandoned as a child. Raised by the dark.
5506,1,1,['US'],1,0,96,2,14,18,"[(7, 2, 9)]","DennisQuaid,DavidThewlis,PetePostlethwaite,DinaMeyer,JulieChristie,SeanConnery,JohnGielgud,LeeOakes,BrianThompson,JasonIsaacs,WolfChristian,EvaVejm,MilanBah,PeterHric,SandraKovacicova,KyleCohen,ThomBaker",18,"[(7, 4, 7)]",57000000,,tt0116136,23.63659,103,You will believe.
5507,4,4,['US'],1,0,16,3,14,29,"[(6, 8, 15)]","JeffBridges,ChrisPine,BenFoster,GilBirmingham,MarinIreland,KatyMixon,DaleDickey,KevinRankin,MelaniePapalia,JohnPaulHoward,ChristopherW,BuckTaylor,AmberMidthunder,AlmaSisneros,GregoryCruz,DebriannaMansini,DylanKenin,TerryDaleParks,MartinPalmer,LoraMartinezCunningham,RichardBeal,TaylorSheridan,MargaretBowman,J,RickyLee,CrystalGonzales,HowardFergusonJr,DannyWinn,WilliamSterchi",56,"[(41, 2, 13)]",12000000,http://hellorhighwater.movie/,tt2582782,12.565896,102,Blood always follows money.
5508,4,3,['US'],1,0,04,4,3,35,"[(3, 10, 22)]","PierceBrosnan,SalmaHayek,WoodyHarrelson,TroyGarity,RussellHornsby,RexLinn,MichaelBowen,MarkMoses,ChrisPenn,ObbaBabatund,GianniRusso,DonCheadle,NaomieHarris,AndrewFiscella,KarlMalone,GaryPayton,MykeltiWilliamson,AlanDale,RobertCurtisBrown,JeffGarlin,KateWalsh,TomMcGowan,RachaelHarris,LisaThornhill,JoelMcKinnonMiller,ShakaraLedard,AudreyQuock,GillianVigman,DavidReivers,KamalMarayati,No,OmahyraMota,OluchiOnweagba,TonyLedard",23,"[(3, 5, 15)]",60000000,http://www.afterthesunset.com/,tt0367479,11.945666,97,Who will walk away?
5509,4,1,['US'],1,0,02,4,14,18,"[(0, 6, 12)]","PatrickStewart,JonathanFrakes,BrentSpiner,LeVarBurton,MichaelDorn,GatesMcFadden,MarinaSirtis,TomHardy,RonPerlman,ShannonCochran,DinaMeyer,KateMulgrew,WilWheaton,WhoopiGoldberg,StuartBaird,AlanDale,BryanSinger,DavidRalphe",19,"[(6, 3, 10)]",60000000,,tt0253754,11.367801,117,A generation's final journey... begins.
5510,2,1,['US'],1,0,63,4,4,10,"[(2, 2, 6)]","SebastianCabot,KarlSwenson,JuniusMatthews,NormanAlden,RickieSorensen,GinnyTyler,MarthaWentworth,AlanNapier,RichardReitherman,RobertReitherman",13,"[(4, 0, 9)]",3000000,,tt0057546,10.636458,79,Tired of living in a Medieval mess...Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!
5511,3,12,"['GB', 'FR']",2,1,14,3,7,18,"[(3, 6, 9)]","GemmaArterton,JasonFlemyng,FabriceLuchini,ElsaZylberstein,IsabelleCandelier,NielsSchneider,MelRaido,PipTorrens,KaceyMottetKlein,EdithScob,PhilippeUchan,PascaleArbillot,MarieB,ChristianSinniger,PierreAlloggia,PatriceLeMehaut,MarianneViville,JeanYvesFreyburger",21,"[(12, 4, 5)]",9700000,,tt2788556,5.105914,99,
5512,3,3,['US'],1,0,12,3,16,15,"[(1, 5, 9)]","BlakeLively,TaylorKitsch,AaronTaylorJohnson,BeniciodelToro,SalmaHayek,JohnTravolta,Demi,EmileHirsch,M,DiegoCata,Joaqu,SandraEcheverr,AntonioJaramillo,AliWong,TrevorDonovan",21,"[(7, 1, 13)]",45000000,http://www.savagesfilm.com/,tt1615065,13.248022,131,Young Beautiful Deadly.
5513,4,1,['US'],1,0,57,2,6,16,"[(5, 1, 10)]","MichaelLandon,YvonneFedderson,WhitBissell,CharlesWillcox,BarneyPhillips,KenMiller,CynthiaChenault,MichaelRougas,RobertGriffin,JosephMell,MalcolmAtterbury,EddieMarr,VladimirSokoloff,LouiseLewis,GuyWilliams,DawnRichard",15,"[(7, 0, 8)]",82000,,tt0050530,0.75684,76,Explosive! Amazing! Terrifying! You won't believe your eyes!
5514,2,5,['US'],1,0,01,3,4,9,"[(2, 4, 3)]","MariahCarey,MaxBeesley,TerrenceHoward,ValariePettiford,PadmaLakshmi,TiaTexada,DaBrat,EricBenet,DonAckerman",12,"[(2, 1, 9)]",22000000,,tt0118589,5.420686,104,"In music she found her dream, her love, herself."
5515,2,2,"['GB', 'IE', 'ZA']",3,1,04,2,3,8,"[(3, 1, 4)]","SamuelL,JulietteBinoche,BrendanGleeson,LangleyKirkwood,HarrietLenabe,WaronaSeane,RobertHobbs,FionaRamsay",7,"[(2, 2, 3)]",12000000,,tt0349260,1.14196,103,"A South African Story of Truth, Love and Reconcilliation"
5516,2,1,['IN'],1,0,16,1,10,13,"[(6, 2, 5)]","FahadhFaasil,AparnaBalamurali,AlencierLeyLopez,SoubinShahir,SujithSankar,Anusree,JafferIdukki,DileeshPothan,LijomolJose,K,SaijuAgustine,Vijilesh,ManjuSunichen",9,"[(6, 0, 3)]",0,https://www.facebook.com/MaheshintePrathikaaramMovie/,tt4851630,0.656226,121,
5517,4,2,"['GB', 'US']",2,0,06,4,7,15,"[(4, 4, 7)]","HughJackman,KateWinslet,IanMcKellen,JeanReno,BillNighy,AndySerkis,ShaneRichie,KathyBurke,DavidSuchet,MiriamMargolyes,RachelRawlinson,SusanDuerden,MilesRichardson,JohnMotson,DouglasWeston",34,"[(10, 0, 24)]",149000000,http://www.dreamworksanimation.com/flushed/,tt0424095,9.922577,85,Someone's Going Down
5518,2,2,"['GB', 'US']",2,0,16,4,8,66,"[(53, 2, 11)]","JoelEdgerton,RuthNegga,MartonCsokas,NickKroll,MichaelShannon,BillCamp,SharonBlackwood,AlanoMiller,TerriAbney,DavidJensen,JonBass,ChristopherMann,WinterLeeHolland,MichaelAbbottJr,ChrisGreene,WillDalton,MattMalloy,AndreneWardHammond,D,JenniferJoyner,LanceLemon,MarquisAdonisHazelwood,BrenanYoung,DalynCleckley,QuinnMcPherson,JevinCrochrell,JordanWilliamsJr,GeorgiaCrawford,MicahClaiborne,DevinCleckley,PryorFerguson,KarenVicks,ScottWichmann,BenjaminLoeh,BridgetGethins,MarkHuber,SmithHarrison,JamesMatthewPoole,ColeyCampany,SheriLahris,JordanDickey,CobyBatty,ChrisCondetti,ChrisCondetti,LoganJ,RobertHaulbrook,KeithTyree,JamesNevins,W,TomLancaster,LonnieMHenderson,BrianThomasWise,KenHolliday,TerryMenefeeGau,MarcAnthonyLowe,JaySanGiovanni,TyrellFord,JamesAtticusAbebayehu,JimD,DerickNewson,MilesHopkins,KennethWilliamClarke,RobertFurner,VictoriaChavatelJimison,DarrickClaiborne,RaymondH",24,"[(10, 6, 8)]",9000000,http://focusfeatures.com/loving,tt4669986,7.977391,123,All love is created equal
5519,1,5,"['CN', 'US']",2,0,16,4,5,19,"[(7, 5, 7)]","TomCruise,CobieSmulders,AldisHodge,DanikaYarosh,PatrickHeusinger,HoltMcCallany,JuddLormand,ChristopherBerry,HunterBurke,JasonDouglas,LizethHutchings,MariselaZumbado,AlexandraLucchesi,MadalynHorcher,RobertCatrini,TeriWyble,AustinH,BillySlaughter,RobertKnepper",103,"[(80, 2, 21)]",60000000,http://www.jackreachermovie.com/,tt3393786,15.60562,118,Justice is Coming.
5520,0,0,['RU'],1,0,10,2,0,0,"[(0, 0, 0)]",,0,"[(0, 0, 0)]",2500000,,tt1620464,0.209434,0,
5521,3,3,['US'],1,0,13,1,1,19,"[(4, 7, 8)]","MiaWasikowska,NicoleKidman,MatthewGoode,DermotMulroney,JackiWeaver,LucasTill,AldenEhrenreich,PhyllisSomerville,RalphBrown,JudithGodr,DavidAlford,HarmonyKorine,PegAllen,LaurenE,ThomasA,TylervonTagen,JaxonJohnson,PaxtonJohnson,TomCarpenter",14,"[(5, 2, 7)]",12000000,http://www.foxsearchlight.com/stoker/,tt1682180,7.222816,99,Innocence Ends.
5522,1,1,['US'],1,0,10,1,1,5,"[(4, 1, 0)]","SkyFerreira,CodyRay,DustinRay,JamesSieborJr,ZoeVance",4,"[(4, 0, 0)]",0,http://puttyhillmovie.com/,tt1530975,0.514257,87,
5523,3,6,['US'],1,0,09,1,16,75,"[(28, 8, 39)]","Malin,BillyCrudup,MatthewGoode,JackieEarleHaley,JeffreyDeanMorgan,PatrickWilson,CarlaGugino,MattFrewer,StephenMcHattie,LauraMennell,RobLaBelle,GaryHouston,JamesM,MaryAnnBurger,JohnShaw,RobertWisden,JerryWasserman,DonThompson,FrankNovak,SeanAllan,GarryChalk,RonFassler,StephanieBelding,MichaelKopsa,WilliamS,MalcolmScott,ChrisBurns,DannyWattley,NhiDo,WalterAddison,DavidMackay,KeithMartinGordey,FulvioCecere,TedCole,MarkAcheson,JohnDestry,ChrisGauthier,L,JayBrazeau,JesseReid,ManojSood,DanPayne,NiallMatter,ApolloniaVanova,GlennEnnis,DarrylScheelar,ClintCarleton,BrettStimely,CarrieGenzel,GregTravis,GregArmstrongMorris,AndrewColthart,BruceCrawford,SalSortino,EliSnyder,LoriWatt,TonyBardach,JohnKobylka,CarmenLavigne,J,StevenStojkovic,MartinReiss,FrankCassini,JohnR,TaraFrederick,DarylShuttleworth,JarydHeydrick,RonChartier,CarlyBentall,MattDrake,HaleyGuiel,SonyaSalomaa,TylerMcClendon,SalliSaffioti,DannyWoodburn",24,"[(9, 2, 13)]",130000000,https://www.warnerbros.com/watchmen,tt0409459,16.551503,163,Justice is coming to all of us.  No matter what we do.
5524,3,6,"['FR', 'US']",2,1,91,3,13,42,"[(11, 5, 26)]","ArnoldSchwarzenegger,LindaHamilton,RobertPatrick,EdwardFurlong,MichaelEdwards,JoeMorton,EarlBoen,JenetteGoldstein,XanderBerkeley,S,CastuloGuerra,DannyCooksey,SvenOleThorsen,DeVaughnNixon,KenGibbel,RobertWinley,PeteSchrum,DonLake,RichardVidan,JimPalmer,DonStanton,DanStanton,ColinPatrickLynch,NikkiCox,TonySimotes,AbdulSalaamElRazzac,MikeMuscat,DeanNorris,CharlesA,TerrenceEvans,DenneyPierce,MarkChristopherLawrence,VanLing,GerardG,MartinDeLuca,ScottShaw,JoelKramer,RichardRuskin,RandyWalker,WilliamWisherJr,NancyFish,DaltonHamilton",54,"[(25, 7, 22)]",100000000,,tt0103064,22.661695,137,It's nothing personal.
5525,3,1,['US'],1,0,83,3,5,24,"[(2, 6, 16)]","ChevyChase,ImogeneCoca,RandyQuaid,AnthonyMichaelHall,MiriamFlynn,JohnCandy,DanaBarron,EddieBracken,BrianDoyleMurray,JamesKeach,EugeneLevy,FrankMcRae,ChristieBrinkley,JaneKrakowski,JohnP,MickeyJones,NathanCook,ChristopherJackson,JohnDiehl,RandyLowell,MichaelTalbott,HenryGibson,HaroldRamis",6,"[(0, 0, 6)]",15000000,,tt0085995,7.747432,98,Every summer Chevy Chase takes his family on a little trip. This year he went too far.
5526,2,4,['US'],1,0,11,3,10,12,"[(3, 4, 5)]","MiaWasikowska,HenryHopper,RyoKase,SchuylerFisk,JaneAdams,LusiaStrus,JesseHenderson,KyleLeatherberry,VictorMorris,ChristopherD,WilliamJ,ChinHan",13,"[(3, 3, 7)]",8000000,http://www.restlessmovie.com/,tt1498569,6.140556,91,Who do you live for?
5527,2,0,['NA'],0,0,14,4,0,7,"[(5, 0, 2)]","JavedSheikh,FahadMustafa,UrwaHocane,MohsanAbbasHaider,KubraKhan,SalmanShahid,MehwishHayat",0,"[(0, 0, 0)]",884130,,tt3801252,0.241973,137,
5528,1,3,['US'],1,0,05,1,17,17,"[(0, 9, 8)]","CharlizeTheron,EllePeterson,ThomasCurtis,FrancesMcDormand,SeanBean,WoodyHarrelson,AmberHeard,JeremyRenner,RichardJenkins,SissySpacek,JamesCada,RustySchwimmer,LindaEmond,MichelleMonaghan,BradWilliamHenke,JillianArmenante,CoreyStoll",12,"[(3, 3, 6)]",35000000,http://northcountrymovie.warnerbros.com/,tt0395972,8.781298,126,All She Wanted Was To Make A Living. Instead She Made History.
5529,1,4,"['RO', 'FR']",2,1,15,2,1,10,"[(7, 0, 3)]","TomaCuzin,RaduBanzaru,FlorinKevorkian,DanChiriac,IuliaCiochina,CristinaToma,CorneliuCozmei,ClemenceValleteau,CiprianMistreanu,AdrianPurcarescu",13,"[(8, 2, 3)]",0,,tt4515684,1.534354,89,
5530,3,4,['US'],1,0,16,4,7,36,"[(11, 7, 18)]","LucasTill,JaneLevy,AmyRyan,RobLowe,DannyGlover,BarryPepper,HoltMcCallany,FrankWhaley,ThomasLennon,TuckerAlbrizzi,SamaraWeaving,DanielBacon,FaustinoDiBauda,JedidiahGoodacre,ChrisGauthier,ScottPatey,RyanCowie,RuairiMacDonald,StaceyScowley,AdrianFormosa,MajaAro,PhilipGranger,DanielBoileau,PeterNew,SimonChin,DevielleJohnson,ChristianSloan,JordanaLargy,IanCarter,HowieLai,CandiceZhao,JagenJohnson,GiacomoBaessato,EmanuelFappas,ChadWillett",18,"[(6, 2, 10)]",125000000,http://www.monstertrucksmovie.com/,tt3095734,14.801195,105,Meet Creech
5531,2,3,['GB'],1,1,91,4,5,7,"[(0, 4, 3)]","JosieLawrence,MirandaRichardson,JoanPlowright,PollyWalker,AlfredMolina,MichaelKitchen,JimBroadbent",11,"[(4, 2, 5)]",0,,tt0101811,2.400185,89,"It's April in Italy, and anything can happen...even love."
5532,3,1,['US'],1,0,82,3,2,15,"[(1, 5, 9)]","BarbaraHershey,RonSilver,DavidLabiosa,GeorgeCoe,MargaretBlye,JacquelineBrookes,RichardBrestoff,MichaelAlldredge,RaymondSinger,NatashaRyan,MelanieGaffin,AlexRocco,SullyBoyar,TomStern,AllanRich",36,"[(23, 0, 13)]",0,,tt0082334,6.302682,125,The ultimate story of supernatural terror!
5533,2,3,['US'],1,1,96,1,16,15,"[(0, 1, 14)]","JeffBridges,CarolineGoodall,JohnSavage,ScottWolf,JeremySisto,RyanPhillippe,DavidLascher,DavidLascher,EricMichaelCole,JasonMarsden,DavidSelby,JulioOscarMechoso,ZeljkoIvanek,BalthazarGetty,EthanEmbry",10,"[(3, 0, 7)]",38000000,,tt0118158,9.568604,129,
5534,2,1,['US'],1,1,12,2,3,12,"[(1, 4, 7)]","BenStiller,SachaBaronCohen,DavidSchwimmer,FrancesMcDormand,ChrisRock,JadaPinkettSmith,JohnDiMaggio,CedrictheEntertainer,JessicaChastain,BryanCranston,MartinShort,PazVega",15,"[(7, 1, 7)]",145000000,,tt1277953,13.829042,93,"Six years ago, they disappeared without a trace. Next summer, they finally resurface."
5535,2,4,['PH'],1,1,13,2,6,17,"[(10, 2, 5)]","PioloPascual,GeraldAnderson,AngelAquino,ShainaMagdayao,MichaelDeMesa,RayverCruz,JoelTorre,JoeyMarquez,EmpressSchuck,LeoMartinez,VivianVelez,RosannaRoces,MonConfiado,JMdeGuzman,WilliamMartinez,DawnJimenez,Ni",6,"[(3, 0, 3)]",1052753,,tt2717558,2.934298,120,
5536,1,2,['IT'],1,0,09,2,0,13,"[(7, 3, 3)]","AlessandroTiberi,ValentinaLodovini,CarolinaCrescentini,FrancescoMandelli,FrancescoBrandi,FrancescaInaudi,PaoloVillaggio,SteffanBoje,RobertoCitran,NatalinoBalasso,LuigiFerrario,LuciaOcone,DemianSabini",5,"[(5, 0, 0)]",0,,tt1272014,1.562425,101,
5537,3,4,"['HK', 'US']",2,1,73,3,8,22,"[(10, 1, 11)]","BruceLee,SammoHung,JackieChan,AngelaMao,JohnSaxon,SekKin,YuenBiao,AhnaCapri,JimKelly,RobertWall,BettyChung,BoloYeung,GeoffreyWeeks,RoyChiao,PeterChanLung,MarleneClark,PhillipKoFei,MangHoi,Mars,ChungFat,TaiBo,YuenWah",22,"[(8, 0, 14)]",850000,,tt0070034,10.687757,99,Their deadly mission: to crack the forbidden island of Han!
5538,4,1,['US'],1,1,93,4,2,17,"[(3, 4, 10)]","MelindaClarke,J,KentMcCord,SarahDouglas,JamesT,BasilWallace,MikeMoroff,JulianScottUrena,P,SalLopez,DanaLee,JillAndre,DavidWells,AnthonyHickox,BrianPeck,GarySchmoeller,MichaelDeak",9,"[(1, 0, 8)]",2000000,,tt0107953,9.796755,97,She's to die for.
5539,3,2,['US'],1,0,00,2,22,23,"[(1, 3, 19)]","NicolasCage,AngelinaJolie,GiovanniRibisi,DelroyLindo,WillPatton,ChristopherEccleston,ChiMcBride,RobertDuvall,ScottCaan,TimothyOlyphant,WilliamLeeScott,VinnieJones,JamesDuval,T,FrancesFisher,GraceZabriskie,DeanRaderDuval,BodhiElfman,AryeGross,CarmenArgenziano,MichaelPe,BillyDevlin",34,"[(9, 7, 18)]",90000000,,tt0187078,14.091765,118,"Ice Cold, Hot Wired."
5540,2,4,"['GB', 'US']",2,0,81,3,9,44,"[(3, 13, 28)]","DavidNaughton,JennyAgutter,GriffinDunne,JohnWoodvine,LilaKaye,JoeBelcher,DavidSchofield,SeanBaker,BrianGlover,RikMayall,PaddyRyan,AnneMarieDavies,FrankOz,AlbertMoses,DonMcKillop,PaulKember,ColinFernandes,JimHenson,MicheleBrisigotti,MarkFisher,GordonSterne,PaulaJacobs,ClaudineBowyer,JohannaCrayden,NinaCarter,GeoffreyBurridge,BrendaCavendish,ChristopherScoular,MaryTempest,CynthiaPowell,SydneyBromley,FrankSinguineau,WillLeighton,BobBabenia,MichaelCarter,ElizabethBradley,RufusDeakin,LesleyWard,GeorgeHilsdon,AlanFord,LucienMorgan,LinziDrew,JohnAltman,JohnOwens",15,"[(5, 2, 8)]",10000000,,tt0082010,13.390802,97,Beware the Moon.
5541,3,3,['US'],1,1,15,1,29,19,"[(6, 2, 11)]","ChrisHemsworth,LeehomWang,TangWei,ViolaDavis,HoltMcCallany,AndyOn,RitchieCoster,ChristianBorle,JohnOrtiz,YorickvanWageningen,TysonChak,BrandonMolale,DannyBurstein,ArchieKao,AbhiSinha,MannyMontana,SpencerGarrett,WilliamMapother,AdrianPang",54,"[(39, 3, 12)]",70000000,http://www.legendary.com/film/blackhat/,tt2717822,14.932368,133,We are no longer in control.
5542,1,1,['US'],1,0,16,1,1,21,"[(6, 6, 9)]","JohnHawkes,VailBloom,JoannaCassidy,JeffFahey,RobertForster,BrettJacobsen,DichenLachman,DashMihok,SydneyTamiiaPoitier,CrystalReed,RiderStrong,NatalieZea,HelenSadler,ChristopherKarlJohnson,DavidYow,FreddieJoeFarnsworth,SallyJaye,MonicaOlive,J,MadisonMorris,AlecWhitney",13,"[(11, 1, 1)]",0,https://www.toolatemovie.com/,tt2394063,1.714795,108,
